"TimeCreated";"ProcessID";"ProcessName";"ProcessPath";"ParentProcessID";"ParentProcessName";"ParentProcessPath"
"05.04.2022 10:58:43";"4556";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:58:37";"14060";"c:\windows\system32\";"raserver.exe";"2212";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:58:21";"11412";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:58:20";"1224";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:58:20";"7388";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:58:20";"1188";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:58:20";"8804";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:57:57";"9444";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:57:43";"11936";"c:\windows\system32\wbem\";"wmiprvse.exe";"1576";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:56:00";"11624";"c:\windows\syswow64\macromed\flash\";"flashplayerupdateservice.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:56:00";"4168";"c:\windows\syswow64\macromed\flash\";"flashplayerupdateservice.exe";"2212";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:56:00";"8168";"c:\windows\system32\";"conhost.exe";"4168";"c:\windows\syswow64\macromed\flash\";"flashplayerupdateservice.exe"
"05.04.2022 10:55:24";"5584";"c:\program files (x86)\microsoft office\root\office16\";"msoia.exe";"2212";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:54:18";"6076";"c:\windows\system32\wbem\";"wmiprvse.exe";"1576";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:53:54";"3060";"c:\windows\system32\wbem\";"wmiprvse.exe";"1576";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:53:42";"12744";"c:\program files (x86)\kaspersky lab\networkagent\";"vapm.exe";"2296";"c:\program files (x86)\kaspersky lab\networkagent\";"klnagent.exe"
"05.04.2022 10:53:41";"10692";"c:\program files (x86)\kaspersky lab\networkagent\";"ksnproxy.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:53:39";"14316";"c:\program files (x86)\kaspersky lab\networkagent\";"up2date.exe";"2296";"c:\program files (x86)\kaspersky lab\networkagent\";"klnagent.exe"
"05.04.2022 10:53:37";"9276";"c:\program files\common files\microsoft shared\clicktorun\";"officec2rclient.exe";"2212";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:53:37";"9868";"c:\windows\system32\";"taskhostw.exe";"2212";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:53:29";"4056";"c:\windows\system32\";"gpupdate.exe";"2212";"c:\windows\system32\";"svchost.exe"
"05.04.2022 10:53:29";"11512";"c:\windows\system32\";"svchost.exe";"1340";"c:\windows\system32\";"services.exe"
"05.04.2022 10:53:29";"8348";"c:\windows\system32\";"conhost.exe";"4056";"c:\windows\system32\";"gpupdate.exe"
"05.04.2022 10:53:17";"11164";"c:\windows\system32\";"conhost.exe";"6364";"c:\windows\ccm\";"updatetrustedsites.exe"
"05.04.2022 10:53:17";"6364";"c:\windows\ccm\";"updatetrustedsites.exe";"92";"c:\windows\ccm\";"ccmexec.exe"
"05.04.2022 10:44:41";"11260";"c:\program files (x86)\microsoft\edgeupdate\";"microsoftedgeupdate.exe";"1016";"c:\program files (x86)\microsoft\edgeupdate\";"microsoftedgeupdate.exe"
"05.04.2022 10:44:24";"1016";"c:\program files (x86)\microsoft\edgeupdate\";"microsoftedgeupdate.exe";"1340";"c:\windows\system32\";"services.exe"
